Num;CP;CT;TP;Final
185.0;2.5;1.5;11.64;4.79
186.0;7.5;5;5.93;5.9
187.0;8.5;4;9.03;6.63
188.0;10;6;9.5;8.05
189.0;11.25;11;13.25;11.74
190.0;2;2;4.43;2.73
191.0;15.25;16;9.05;13.73
192.0;9;7;9.55;8.27
193.0;13;7.5;6.15;8.47
194.0;16;16;12.69;15.01
195.0;7;6.5;5.33;6.27
196.0;6;9;8.48;8.09
197.0;1.25;1.5;9.23;3.76
198.0;17.5;18;16.11;17.31
