%  Volume ajoute (mL)            pH mesure 
5.050505050505050830e-01, 3.073709013115136557e+00
1.010101010101010166e+00, 3.383787137756514962e+00
1.515151515151515138e+00, 3.569119053547108678e+00
2.020202020202020332e+00, 3.703499346388250402e+00
2.525252525252525082e+00, 3.810060745072487265e+00
3.030303030303030276e+00, 3.899112745146406489e+00
3.535353535353535470e+00, 3.976159861681345387e+00
4.040404040404040664e+00, 4.044492641997250892e+00
4.545454545454544970e+00, 4.106238237942056557e+00
5.050505050505050164e+00, 4.162853656090939936e+00
5.555555555555555358e+00, 4.215382707367124837e+00
6.060606060606060552e+00, 4.264600730037305887e+00
6.565656565656565746e+00, 4.311101239567761922e+00
7.070707070707070940e+00, 4.355350434340544474e+00
7.575757575757576134e+00, 4.397722915699807444e+00
8.080808080808081328e+00, 4.438525927336479882e+00
8.585858585858584746e+00, 4.478016312116800179e+00
9.090909090909089940e+00, 4.516412703031106091e+00
9.595959595959595134e+00, 4.553904513323443481e+00
1.010101010101010033e+01, 4.590658731403218340e+00
1.060606060606060730e+01, 4.626825186442808935e+00
1.111111111111111072e+01, 4.662540738709343380e+00
1.161616161616161591e+01, 4.697932713798185667e+00
1.212121212121212110e+01, 4.733121812995051414e+00
1.262626262626262630e+01, 4.768224676024905406e+00
1.313131313131313149e+01, 4.803356237416481989e+00
1.363636363636363491e+01, 4.838631997765024728e+00
1.414141414141414188e+01, 4.874170323144014105e+00
1.464646464646464707e+01, 4.910094888560601945e+00
1.515151515151515227e+01, 4.946537395074544818e+00
1.565656565656565746e+01, 4.983640717148658972e+00
1.616161616161616266e+01, 5.021562681351011470e+00
1.666666666666666785e+01, 5.060480747381381761e+00
1.717171717171716949e+01, 5.100597970589364039e+00
1.767676767676767469e+01, 5.142150793832700906e+00
1.818181818181817988e+01, 5.185419483989680778e+00
1.868686868686868507e+01, 5.230742462776338364e+00
1.919191919191919027e+01, 5.278536507980597925e+00
1.969696969696969546e+01, 5.329326059673960891e+00
2.020202020202020066e+01, 5.383787137756514518e+00
2.070707070707070940e+01, 5.442815682722843107e+00
2.121212121212121460e+01, 5.507638778723600304e+00
2.171717171717171979e+01, 5.580005850654131017e+00
2.222222222222222143e+01, 5.662540738709343380e+00
2.272727272727272663e+01, 5.759450751717399619e+00
2.323232323232323182e+01, 5.878140539048698265e+00
2.373737373737373701e+01, 6.033608600981079206e+00
2.424242424242424221e+01, 6.264600730037303222e+00
2.474747474747474740e+01, 6.750676827409892056e+00
