 (1.070763465829189975e+01+0.000000000000000000e+00j)  (-4.233645395849733177e+03-1.360267864135721538e+03j)
 (1.070726798137183877e+01+0.000000000000000000e+00j)  (-4.341102232571503919e+03-1.729444419701240577e+03j)
 (1.070690130445177779e+01+0.000000000000000000e+00j)  (-4.046617810533920874e+03-1.343228007117901370e+03j)
 (1.070653462753171681e+01+0.000000000000000000e+00j)  (-4.398523201278843771e+03-1.686490757858453435e+03j)
 (1.070616795061165583e+01+0.000000000000000000e+00j)  (-3.787969769208320031e+03-1.252791725389806970e+03j)
 (1.070580127369159484e+01+0.000000000000000000e+00j)  (-4.899544351124045534e+03-1.231308897384905322e+03j)
 (1.070543459677153386e+01+0.000000000000000000e+00j)  (-4.213542503921160460e+03-2.212043581213471953e+03j)
 (1.070506791985147288e+01+0.000000000000000000e+00j)  (-3.754323098944551930e+03-1.485679661432408011e+03j)
 (1.070470124293141190e+01+0.000000000000000000e+00j)  (-4.145808246702548786e+03-1.235934850417725329e+03j)
 (1.070433456601135092e+01+0.000000000000000000e+00j)  (-4.414178459418732928e+03-1.556640924894152931e+03j)
 (1.070396788909128993e+01+0.000000000000000000e+00j)  (-4.018740089575041566e+03-1.685352189265870038e+03j)
 (1.070360121217122895e+01+0.000000000000000000e+00j)  (-3.968360204551780043e+03-1.489560042195829510e+03j)
 (1.070323453525116797e+01+0.000000000000000000e+00j)  (-3.917342764553227880e+03-1.099223537479210336e+03j)
 (1.070286785833110699e+01+0.000000000000000000e+00j)  (-4.658543968442135338e+03-1.183932402545234709e+03j)
 (1.070250118141104601e+01+0.000000000000000000e+00j)  (-4.369087895356991794e+03-1.655469565919118622e+03j)
 (1.070213450449098502e+01+0.000000000000000000e+00j)  (-4.495690532903005078e+03-1.679152839134109172e+03j)
 (1.070176782757092404e+01+0.000000000000000000e+00j)  (-3.893432923229245716e+03-1.881475542082515176e+03j)
 (1.070140115065086306e+01+0.000000000000000000e+00j)  (-4.201617981492167019e+03-1.200566604906325438e+03j)
 (1.070103447373080208e+01+0.000000000000000000e+00j)  (-4.434158012293224601e+03-1.857446061392461843e+03j)
 (1.070066779681074109e+01+0.000000000000000000e+00j)  (-3.902784742324789022e+03-1.794030671929082700e+03j)
 (1.070030111989068011e+01+0.000000000000000000e+00j)  (-3.903653842621028161e+03-1.428523559319901551e+03j)
 (1.069993444297061913e+01+0.000000000000000000e+00j)  (-4.274761729633833966e+03-1.453786804256588994e+03j)
