0,440
1,131
2,259
3,457
4,688
5,769
6,1771
7,1459
8,1737
9,1981
10,2099
11,2589
12,2825
13,3235
14,3884
15,3694
16,3143
17,3385
18,2652
19,2973
20,2467
21,2015
22,14108
23,5090
24,2641
25,2008
26,2048
27,1888
28,1749
29,382
30,898
31,823
32,648
33,214
34,508
