ppm Intensity
1.068380065848793592e+01 -3.486936805502854440e+03
1.068343398156787494e+01 -3.750057027042403206e+03
1.068306730464781396e+01 -3.850479755612072040e+03
1.068270062772775297e+01 -4.132963832562900279e+03
1.068233395080769199e+01 -3.449931748707405404e+03
1.068196727388763101e+01 -4.216600821156913298e+03
1.068160059696757003e+01 -4.208703839753650755e+03
1.068123392004750905e+01 -3.589996412361893817e+03
1.068086724312744806e+01 -3.965229087423168494e+03
1.068050056620738708e+01 -3.661247071455571131e+03
1.068013388928732610e+01 -3.730756433868862587e+03
1.067976721236726512e+01 -3.827961841710416138e+03
1.067940053544720413e+01 -3.652827652094078076e+03
1.067903385852714315e+01 -3.926667354848964351e+03
1.067866718160708217e+01 -3.703099301166412260e+03
1.067830050468702119e+01 -3.994779153337255593e+03
1.067793382776696021e+01 -4.068472784259459331e+03
1.067756715084689922e+01 -3.863512090874760361e+03
1.067720047392683824e+01 -3.570706699478997052e+03
1.067683379700677726e+01 -3.625333053399568598e+03
1.067646712008671628e+01 -3.717543040490541898e+03
1.067610044316665530e+01 -3.957644808271612419e+03
1.067573376624659431e+01 -3.864253248244985116e+03
1.067536708932653333e+01 -4.090563442471110648e+03
1.067500041240647235e+01 -3.264494757519713858e+03
1.067463373548641137e+01 -4.065888963035382403e+03
1.067426705856635039e+01 -3.125220003349492799e+03
1.067390038164628940e+01 -4.237688534392020301e+03
1.067353370472622842e+01 -3.830955823730147131e+03
1.067316702780616744e+01 -3.800873289976778324e+03
1.067280035088610646e+01 -3.216290647575126968e+03
1.067243367396604548e+01 -3.515469183303635418e+03
1.067206699704598449e+01 -3.976866230620933493e+03
1.067170032012592351e+01 -3.760390702930173120e+03
1.067133364320586253e+01 -4.040407057457511655e+03
1.067096696628580155e+01 -4.086772286944567895e+03
1.067060028936574057e+01 -3.964458687183774600e+03
1.067023361244567958e+01 -3.657366064405133329e+03
1.066986693552561860e+01 -3.500057716981120393e+03
1.066950025860555762e+01 -4.104371881121830484e+03
1.066913358168549664e+01 -3.526896486598449883e+03
1.066876690476543565e+01 -3.399247298390811920e+03
1.066840022784537467e+01 -3.765926601545223093e+03
1.066803355092531369e+01 -3.892288582824201512e+03
1.066766687400525271e+01 -4.062340477993120658e+03
1.066730019708519173e+01 -3.659441402318625478e+03
1.066693352016513074e+01 -3.218391191790120047e+03
1.066656684324506976e+01 -3.470483804983829032e+03
1.066620016632500878e+01 -3.727485300258882489e+03
1.066583348940494780e+01 -3.674738430987245010e+03
1.066546681248488682e+01 -3.847021065052153972e+03
1.066510013556482583e+01 -4.017757635920685971e+03
1.066473345864476485e+01 -3.512075522558572175e+03
1.066436678172470387e+01 -3.829865363360459014e+03
1.066400010480464289e+01 -3.272575742295086911e+03
1.066363342788458191e+01 -3.441120360894246005e+03
1.066326675096452092e+01 -3.419483925254015958e+03
1.066290007404445994e+01 -3.533852701177200288e+03
1.066253339712439896e+01 -3.711556996767159035e+03
1.066216672020433798e+01 -4.003553311965042667e+03
1.066180004328427700e+01 -3.395775891633897118e+03
1.066143336636421601e+01 -3.321133074352299900e+03
1.066106668944415503e+01 -3.853584481582380249e+03
1.066070001252409405e+01 -3.482611736074086366e+03
1.066033333560403307e+01 -3.189564438133462318e+03
1.065996665868397208e+01 -3.770940401644369558e+03
1.065959998176391110e+01 -3.134612881617863422e+03
1.065923330484385012e+01 -3.756742316896718876e+03
1.065886662792378914e+01 -3.878388410549086984e+03
1.065849995100372816e+01 -3.443038101175345219e+03
1.065813327408366717e+01 -3.445110645712721634e+03
1.065776659716360619e+01 -3.838622912325090510e+03
1.065739992024354521e+01 -3.418415470283485320e+03
1.065703324332348423e+01 -3.633688099551482992e+03
1.065666656640342325e+01 -3.506855042061119548e+03
1.065629988948336226e+01 -3.295215236029897824e+03
1.065593321256330128e+01 -3.879133977916419099e+03
1.065556653564324030e+01 -3.128064963177886511e+03
1.065519985872317932e+01 -3.504107961278255971e+03
1.065483318180311834e+01 -3.360323996534452817e+03
1.065446650488305735e+01 -3.937893702328547988e+03
1.065409982796299637e+01 -3.510360942883829011e+03
1.065373315104293539e+01 -3.688702038929734954e+03
1.065336647412287441e+01 -3.720620506209307678e+03
1.065299979720281343e+01 -3.451775046311197912e+03
1.065263312028275244e+01 -3.548904761057194719e+03
1.065226644336269146e+01 -3.192647154354951454e+03
1.065189976644263048e+01 -3.265922124485149652e+03
1.065153308952256950e+01 -3.584914356835286981e+03
1.065116641260250852e+01 -3.483350889349782847e+03
1.065079973568244753e+01 -3.071541566147882804e+03
1.065043305876238655e+01 -3.190885917972464085e+03
1.065006638184232557e+01 -3.027740193900673148e+03
1.064969970492226459e+01 -3.548005375861421271e+03
1.064933302800220360e+01 -3.075059550742092597e+03
1.064896635108214262e+01 -3.448689138941895635e+03
1.064859967416208164e+01 -3.539939174430614912e+03
1.064823299724202066e+01 -3.284803250711212968e+03
1.064786632032195968e+01 -2.908942276482829129e+03
1.064749964340189869e+01 -3.192122383709845963e+03
1.064713296648183771e+01 -3.339868112329832911e+03
1.064676628956177673e+01 -3.382952510466909189e+03
1.064639961264171575e+01 -3.341731465031137304e+03
1.064603293572165477e+01 -3.442536853984856862e+03
1.064566625880159378e+01 -3.417430909841032644e+03
1.064529958188153280e+01 -2.827228706254292774e+03
1.064493290496147182e+01 -3.266793301778936438e+03
1.064456622804141084e+01 -2.749060878854832481e+03
1.064419955112134986e+01 -3.212657402345660103e+03
1.064383287420128887e+01 -3.462473539082524439e+03
1.064346619728122789e+01 -3.648219936744684674e+03
1.064309952036116691e+01 -3.459144539630414329e+03
1.064273284344110593e+01 -3.289078903720178005e+03
1.064236616652104495e+01 -2.932458605397876454e+03
1.064199948960098396e+01 -3.784905350548094248e+03
1.064163281268092298e+01 -3.713978924094597460e+03
1.064126613576086200e+01 -3.604130479913800627e+03
